ID,date,mode,time_arrive,time_leave,car_own,rank_1,rank_2,rank_3,rank_4,rank_5,first_activity,last_activity,school_year,housing,complex,housing_type,city,longitude,latitude,grow_up,hs_modes,gender,married,children,college,college_work,work,parent_education
R_2OYMraFggHx5lV1,2022-03-28 11:03:28,The Ryde shuttle bus,8H 50M 0S,14H 0M 0S,Yes,Parking,Distance,Availability,Preference,NA,10,6,Senior,Off-campus BYU-contracted housing,NA,NA,Provo,111.63515234393941,40.261783535727275,Virginia,"Dropped off by parent or guardian,School bus",Female,Yes,No,International and Area Studies,NA,"Yes, off campus",Master's degree
R_Rn1fwUWMR4Duwjn,2022-03-28 11:03:55,Carpool,9H 25M 0S,17H 15M 0S,Yes,Convenience,NA,NA,NA,NA,5,9,Senior,On-campus housing,Wymount Terrace,NA,NA,111.6414,40.25899,"Mesa, AZ, USA","Dropped off by parent or guardian,School bus,Walk",Female,Yes,No,Humanities,NA,"Yes, on campus",Master's degree
R_2wi7W71gGvQViDY,2022-03-28 11:07:38,Walk,8H 47M 0S,18H 15M 0S,No,Parking,Preference,Exercise,Health,Convenience,6,10,Freshman,On-campus housing,Heritage Halls,NA,NA,NA,NA,"Lakeville, MN, USA","Drive alone or with siblings,Dropped off by parent or guardian",Female,No,No,Humanities,NA,No,Bachelor's degree
R_d6888x9Q8LkTLgJ,2022-03-28 11:08:01,Walk,8H 0M 0S,16H 5M 0S,No,Availability,Cost,NA,NA,NA,9,6,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.66921121030303,40.24800511918182,New Jersey,Drive alone or with siblings,Female,No,No,International and Area Studies,NA,"Yes, on campus",Master's degree
R_0dfOfqoo69uOqGJ,2022-03-28 11:09:00,Drive alone,9H 45M 0S,18H 0M 0S,Yes,Health,Parking,Flexibility,Convenience,Time,7,10,Junior,On-campus housing,Wyview Park,NA,NA,111.66039,40.26054,"Bluffdale, UT, USA","Drive alone or with siblings,Dropped off by parent or guardian,Public transportation",Female,No,No,Engineering,NA,"Yes, on campus",Some college
R_3ncQSBuB0E05ua3,2022-03-28 11:09:18,Drive alone,11H 7M 0S,11H 30M 0S,Yes,Convenience,NA,NA,NA,NA,9,6,Junior,On-campus housing,Wymount Terrace,NA,NA,111.6414,40.25899,Slc ut,Drive alone or with siblings,Female,Yes,No,Business,NA,"Yes, on campus",No college/post-secondary education
R_XyTAKJZkrUZQG7D,2022-03-28 11:10:06,Walk,8H 1M 0S,15H 0M 0S,Yes,Parking,NA,NA,NA,NA,10,8,Freshman,On-campus housing,Heritage Halls,NA,NA,NA,NA,missouri,Drive alone or with siblings,Female,No,No,Life Sciences,NA,"Yes, on campus",Bachelor's degree
R_3p5OuO8pJzZTmjn,2022-03-28 11:11:02,Drive alone,11H 8M 0S,11H 8M 0S,Yes,Parking,NA,NA,NA,NA,2,10,Senior,Off-campus BYU-contracted housing,NA,NA,Provo,111.67938307272728,40.23897342254545,Montana,"Drive alone or with siblings,School bus",Male,No,No,Fine Arts and Communications,NA,"Yes, on campus",Some college
R_3e4XqQGCvcHr1oW,2022-03-28 11:11:16,Walk,8H 50M 0S,20H 39M 0S,No,Convenience,Distance,Health,Exercise,Availability,8,8,Sophomore,Off-campus BYU-contracted housing,NA,NA,Provo,111.65120556757577,40.24120825954545,"Keizer, oregon, marrion country",Drive alone or with siblings,Male,No,No,Life Sciences,NA,No,Master's degree
R_21zzPk16kK7BGz9,2022-03-28 11:11:20,Walk,9H 0M 0S,19H 8M 0S,No,Parking,NA,NA,NA,NA,9,4,Freshman,Off-campus BYU-contracted housing,NA,NA,Provo,111.64918083666667,40.24137448709091,Wisconsin,Drive alone or with siblings,Male,No,No,Life Sciences,NA,"Yes, on campus",Doctorate or professional degree
R_2D6md1rLZpa2H2W,2022-03-28 11:11:42,"Bicycle, scooter, skateboard, etc.",7H 0M 0S,18H 0M 0S,Yes,Cost,Availability,NA,NA,NA,6,8,Sophomore,On-campus housing,Wymount Terrace,NA,NA,111.6414,40.25899,"Colorado Springs, CO United States",Drive alone or with siblings,Male,Yes,No,Life Sciences,NA,"Yes, on campus",Master's degree
R_3UV6Sx6ibVNlmBr,2022-03-28 11:13:04,Walk,9H 40M 0S,13H 0M 0S,Yes,Preference,Weather,Convenience,Health,Exercise,11,8,Freshman,Off-campus BYU-contracted housing,NA,NA,Provo,111.6392018057576,40.240007727272726,"Coupeville, WA, USA","Drive alone or with siblings,Dropped off by parent or guardian,School bus",Male,No,No,Physical and Mathematical Sciences,NA,No,Master's degree
R_23a7uFhEupynPbi,2022-03-28 11:13:48,Walk,9H 9M 0S,11H 0M 0S,Yes,Parking,NA,NA,NA,NA,12,11,Senior,Non-BYU-contracted housing (including with family),NA,NA,Provo,111.660582,40.243313808454545,Sterling VA,School bus,Female,Yes,No,International and Area Studies,NA,"Yes, on campus",Some college
R_2Etp17PbdesQkj4,2022-03-28 11:15:01,Drive alone,8H 15M 0S,14H 0M 0S,Yes,Weather,NA,NA,NA,NA,6,6,Junior,Non-BYU-contracted housing (including with family),NA,NA,Orem,111.69352,40.29717,Orem utah,Drive alone or with siblings,Male,Yes,"Yes, 1",Physical and Mathematical Sciences,NA,"Yes, off campus",Bachelor's degree
R_5AXIMEkSgcwWfiF,2022-03-28 11:15:13,Walk,9H 11M 0S,18H 45M 0S,Yes,Preference,Distance,Exercise,Parking,Convenience,8,11,Junior,Non-BYU-contracted housing (including with family),NA,NA,Provo,111.66012402515152,40.24678611718181,Virginia,"Drive alone or with siblings,Dropped off by parent or guardian",Male,Yes,No,Fine Arts and Communications,NA,"Yes, both on and off campus",Master's degree
R_1IXIZYXnFBrr4UH,2022-03-28 11:16:11,Drive alone,8H 45M 0S,20H 30M 0S,Yes,Time,Convenience,Flexibility,Distance,Weather,12,5,Sophomore,Off-campus BYU-contracted housing,NA,NA,Provo,111.66506533272728,40.250683229636365,"Hillsboro, OR, USA","Drive alone or with siblings,Walk",Female,No,No,Engineering,NA,No,Master's degree
R_pMCSVlqpOgnHfcR,2022-03-28 11:17:43,Dropped off by someone else,9H 50M 0S,11H 30M 0S,Yes,Convenience,Time,Distance,Preference,NA,9,9,Senior,Off-campus BYU-contracted housing,NA,NA,Provo,111.63898487030305,40.23973068136363,Los Angeles/Houston,"Drive alone or with siblings,Carpool with peers,Dropped off by parent or guardian",Male,No,No,Fine Arts and Communications,NA,"Yes, both on and off campus",Master's degree
R_WxGMdRsylkxXtJv,2022-03-28 11:19:00,Dropped off by someone else,11H 0M 0S,21H 0M 0S,No,Distance,Time,Convenience,NA,NA,6,6,Senior,Non-BYU-contracted housing (including with family),NA,NA,Provo,111.64158809575758,40.22573062809091,"Elkton, MD, United States","Drive alone or with siblings,Dropped off by parent or guardian,School bus",Female,Yes,No,"Family, Home, and Social Sciences",NA,"Yes, on campus",Some college
R_3M4re8SNr5abUuY,2022-03-28 11:19:54,Walk,11H 10M 0S,17H 0M 0S,No,Availability,Convenience,Weather,Distance,Preference,6,9,Senior,Off-campus BYU-contracted housing,NA,NA,Provo,111.6546524309091,40.24172541190909,New Hampshire,Drive alone or with siblings,Female,No,No,Education,NA,"Yes, on campus",Master's degree
R_1f41ZtJs3BygKJz,2022-03-28 11:22:28,"Bicycle, scooter, skateboard, etc.",9H 15M 0S,17H 15M 0S,Yes,Convenience,Flexibility,Environment,Exercise,Cost,9,8,Sophomore,On-campus housing,Foreign Language Student Residence (FLSR),NA,NA,NA,NA,"Las Vegas, Nevada, Usa","Dropped off by parent or guardian,School bus",Male,No,No,Physical and Mathematical Sciences,NA,"Yes, on campus",Doctorate or professional degree
R_3ptpQQAUuiZFSPk,2022-03-28 11:26:10,The Ryde shuttle bus,8H 45M 0S,12H 0M 0S,No,Convenience,Distance,NA,NA,NA,9,6,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.67065744666667,40.25934553172727,Korea,Walk,Female,No,No,Physical and Mathematical Sciences,NA,"Yes, on campus",No college/post-secondary education
R_1hHeRUBqgZrFsZo,2022-03-28 11:28:48,Walk,9H 0M 0S,17H 0M 0S,Yes,Cost,Parking,Convenience,NA,NA,8,9,Senior,Non-BYU-contracted housing (including with family),NA,NA,Provo,111.65489347030304,40.23721879845454,"Redlands,CA, US","Drive alone or with siblings,Carpool with peers",Male,Yes,No,Life Sciences,NA,"Yes, off campus",Master's degree
R_1eCPzEyNzV6wgSF,2022-03-28 11:37:13,Walk,10H 28M 0S,18H 0M 0S,No,Preference,Exercise,Availability,NA,NA,11,10,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.6641493830303,40.252641020727275,"Lancaster,PA, USA",Drive alone or with siblings,Female,No,No,"Family, Home, and Social Sciences",NA,"Yes, on campus",Doctorate or professional degree
R_1n7LEddajSKRwWg,2022-03-28 11:37:31,Walk,9H 30M 0S,16H 30M 0S,Yes,Parking,Cost,Preference,Health,Exercise,10,6,Freshman,Off-campus BYU-contracted housing,NA,NA,Provo,111.64539651818183,40.23699716172727,Atlanta Georgia,Walk,Male,No,No,Business,NA,"Yes, both on and off campus",Doctorate or professional degree
R_daGGiJOyGITZ2Rb,2022-03-28 11:40:06,The Ryde shuttle bus,10H 15M 0S,22H 0M 0S,No,Environment,Convenience,Weather,Distance,Availability,9,6,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.64445646454547,40.23843780045454,"New Providence, New Jersey","Drive alone or with siblings,Carpool with peers,Dropped off by parent or guardian",Female,No,No,"Family, Home, and Social Sciences",NA,"Yes, on campus",Master's degree
R_3RqpU45KasoDaoN,2022-03-28 11:45:51,The Ryde shuttle bus,8H 45M 0S,13H 0M 0S,No,Availability,Convenience,Time,Distance,NA,8,9,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.67024767969697,40.25707375527273,"Aldie, VA","Carpool with peers,Dropped off by parent or guardian,School bus",Female,No,No,Humanities,NA,No,Master's degree
R_uqQDVUSsaIdBq5H,2022-03-28 11:46:31,The Ryde shuttle bus,8H 45M 0S,17H 30M 0S,Yes,Convenience,Cost,Distance,NA,NA,9,9,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.67024767969697,40.25967798681818,"Seattle, WA, USA",Dropped off by parent or guardian,Male,Yes,No,Physical and Mathematical Sciences,NA,"Yes, both on and off campus",Master's degree
R_3EcZkX73SpS3ngl,2022-03-28 11:47:49,Dropped off by someone else,9H 50M 0S,17H 0M 0S,No,Availability,Convenience,Cost,NA,NA,7,7,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.66318522545455,40.25818193890909,"Los Alamos, New Mexico, USA",Dropped off by parent or guardian,Male,No,No,Engineering,NA,"Yes, on campus",Doctorate or professional degree
R_10xEHfAOhBoFYEX,2022-03-28 11:49:04,Walk,9H 50M 0S,16H 30M 0S,Yes,Distance,Preference,Weather,NA,NA,9,10,Sophomore,Off-campus BYU-contracted housing,NA,NA,Provo,111.65188047787879,40.24058028881818,"Idaho Falls, Idaho",Dropped off by parent or guardian,Male,No,No,Physical and Mathematical Sciences,NA,No,Bachelor's degree
R_3kzzWrz23ADlmP1,2022-03-28 11:49:59,Walk,10H 0M 0S,13H 30M 0S,Yes,Distance,Convenience,Health,Exercise,Preference,6,6,Freshman,On-campus housing,Heritage Halls,NA,NA,NA,NA,NM,School bus,Male,No,No,Fine Arts and Communications,NA,No,Doctorate or professional degree
R_5je2gibDMXJzq93,2022-03-28 11:51:24,Walk,8H 55M 0S,12H 45M 0S,Yes,Weather,Cost,Exercise,Convenience,NA,8,6,Sophomore,Off-campus BYU-contracted housing,NA,NA,Provo,111.6594491148485,40.24575181245454,"Detroit, MI",Drive alone or with siblings,Female,No,No,Humanities,NA,"Yes, off campus",Associate's degree
R_3psROIp6l9nRDS2,2022-03-28 11:52:20,Drive alone,11H 35M 0S,15H 30M 0S,Yes,Convenience,Time,Flexibility,Cost,Distance,6,8,Freshman,Off-campus BYU-contracted housing,NA,NA,Provo,111.65535144515152,40.237366556272725,"Cardston, alberta, Canada",Drive alone or with siblings,Male,No,No,"Family, Home, and Social Sciences",NA,"Yes, on campus",Master's degree
R_OBgM5p3uMJIyX61,2022-03-28 11:52:46,Drive alone,9H 25M 0S,12H 0M 0S,Yes,Flexibility,Convenience,Time,Privacy,NA,9,6,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.65853316515152,40.26089698881818,"Ibarra, Ecuador",Drive alone or with siblings,Male,No,No,Business,NA,"Yes, on campus",Bachelor's degree
R_SE3bTgZbhk7G6ch,2022-03-28 11:54:00,Drive alone,7H 55M 0S,12H 0M 0S,Yes,Convenience,NA,NA,NA,NA,9,7,Sophomore,Non-BYU-contracted housing (including with family),NA,NA,Orem,111.69352,40.29717,Orem,Drive alone or with siblings,Male,No,No,Business,NA,"Yes, off campus",Doctorate or professional degree
R_3hu5NZtkoKjkohz,2022-03-28 11:54:21,Walk,8H 53M 0S,17H 0M 0S,No,Time,Preference,Exercise,Convenience,Parking,6,9,Freshman,On-campus housing,Heritage Halls,NA,NA,NA,NA,Meridian ID,"Drive alone or with siblings,Carpool with peers",Female,No,No,Business,NA,"Yes, on campus",Master's degree
R_1NrUWVfqCEWIXVV,2022-03-28 11:54:39,Walk,8H 52M 0S,20H 40M 0S,Yes,Cost,Health,NA,NA,NA,7,9,Freshman,Off-campus BYU-contracted housing,NA,NA,Provo,111.65332671424244,40.23692328281818,"Kuna, ID, USA",Drive alone or with siblings,Male,No,No,Engineering,NA,No,Master's degree
R_125p8rZc7DHejAY,2022-03-28 11:55:09,Drive alone,7H 52M 0S,15H 0M 0S,Yes,Convenience,Time,NA,NA,NA,9,9,Faculty/Staff,NA,NA,"Owned, Single Family",Springville,111.61066,40.16525,NA,Drive alone or with siblings,Male,Yes,"Yes, more than 1",NA,"Family, Home, and Social Sciences",NA,Doctorate or professional degree
R_2Y3xDBr9dzc4mDi,2022-03-28 11:55:33,Walk,7H 40M 0S,17H 0M 0S,Yes,Convenience,Preference,Distance,Exercise,Health,9,9,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.64587859696971,40.23758819299999,"Philadelphia, PA, USA","Carpool with peers,School bus",Male,No,No,"Family, Home, and Social Sciences",NA,"Yes, on campus",Master's degree
R_a4Yuoeuofxz4h21,2022-03-28 11:55:34,Dropped off by someone else,7H 40M 0S,18H 0M 0S,Yes,Convenience,Availability,NA,NA,NA,7,5,Sophomore,Non-BYU-contracted housing (including with family),NA,NA,Provo,111.64513137484849,40.22850108718181,"West Jordan, UT, USA","Drive alone or with siblings,Walk",Male,Yes,No,Engineering,NA,"Yes, off campus",Bachelor's degree
